id,prediction.interest,nlp.interest,sna.interest,neural.interest,viz.interest,loop.interest,sql.interest
s1,5,5,4,5,2,4,5
s2,5,5,5,5,5,5,5
s3,5,5,5,5,5,4,4
s4,4,5,5,5,5,5,5
s5,4,4,4,5,4,4,5
s6,5,5,5,5,5,5,5
s7,4,5,3,5,4,5,4
s8,4,4,3,4,5,4,4
s9,5,4,2,5,5,5,5
s10,5,5,5,5,5,4,5
s11,4,3,3,4,5,4,5
s12,5,5,5,5,5,5,5
s13,5,5,5,5,5,5,5
s14,5,5,4,5,5,5,5
s15,4,3,5,4,4,3,5
s16,5,5,5,5,5,5,5
s17,5,5,5,5,5,5,5
s18,5,5,4,5,5,3,5
s19,5,3,4,5,5,5,5
s20,5,5,5,5,5,5,3
s21,5,4,5,5,5,5,5
s22,5,5,4,5,5,5,5
s23,5,4,3,3,5,5,2
s24,5,5,4,5,5,5,4
s25,5,5,5,5,3,5,5
s26,5,5,5,5,5,5,5
s27,4,4,3,3,3,4,3
s28,5,5,5,5,5,5,5
s29,5,5,5,5,5,5,5
s30,4,4,5,5,5,4,4
s31,5,5,5,5,5,5,5
s32,4,5,2,4,5,3,2
s33,1,5,4,5,3,3,5
s34,3,4,4,3,5,4,3
s35,5,4,4,3,5,3,3
s36,5,5,4,5,5,5,5
s37,3,3,5,3,4,5,5
s38,3,3,3,3,4,5,5
s39,5,4,5,5,5,5,4
s40,2,5,3,4,4,3,5
s41,5,4,5,5,5,5,5
s42,1,5,1,3,5,4,5
s43,5,5,2,5,5,4,5
s44,4,3,3,4,3,5,4
s45,3,5,4,3,5,3,4
s46,3,3,3,3,3,3,3
s47,3,3,3,3,3,3,3
s48,3,3,5,5,5,5,2
s49,5,5,5,5,5,,
s50,5,,5,,5,5,5
s51,5,5,5,5,5,5,5
s52,5,5,5,5,5,5,5
